,issued_date,contractor_name,latitude,longitude
456,2016-03-31,EAGLE PLUMBING SERVICE,33.378844,-111.87713
459,2016-06-16,SCOTT ZIMMERMAN,33.364927,-111.603704
460,2016-04-13,THE RYLAND GROUP INC,33.469472,-111.676513
461,2016-04-15,TAYLOR MORRISON HOMES,33.472231,-111.766338
462,2016-03-31,SOUTHWEST SCAPES INC,33.366623,-111.890534
463,2016-04-14,JCH CONSTRUCTION,33.316045,-111.612003
464,2016-04-28,NOLIN FIRE SPRINKLERS INC ,33.384821,-111.810583
465,2016-04-14,MILLENNIUM GAS SERVICES LLC,33.360093,-111.604896
467,2016-01-20,COMPLETE HOME CONTROL,33.435663,-111.850568
468,2016-03-10,SHASTA INDUSTRIES,33.493976,-111.672546
470,2016-04-14,UNIQUE LANDSCAPING BY GRIFFIN,33.433071,-111.746011
472,2016-04-14,JCH CONSTRUCTION,33.316079,-111.612342
473,2016-04-14,JCH CONSTRUCTION,33.318674,-111.615471
474,2016-04-14,JCH CONSTRUCTION,33.315719,-111.610603
475,2004-01-21,C W MANUFACTURING,33.415653,-111.670737
476,2016-04-14,JCH CONSTRUCTION,33.315678,-111.612477
477,2016-04-14,JCH CONSTRUCTION,33.316365,-111.613604
478,2016-04-14,JCH CONSTRUCTION,33.315491,-111.611943
479,2016-04-14,JCH CONSTRUCTION,33.318877,-111.616518
480,2016-04-12,WILLIAM LYON HOMES INC,33.476903,-111.76541
481,2016-04-12,WILLIAM LYON HOMES INC,33.47557,-111.763202
482,2016-04-12,WILLIAM LYON HOMES INC,33.475568,-111.763014
483,2016-04-12,WILLIAM LYON HOMES INC,33.475147,-111.763032
484,2016-04-14,UNIQUE LANDSCAPING BY GRIFFIN,33.433071,-111.746011
485,2016-04-12,WILLIAM LYON HOMES INC,33.475151,-111.763213
487,2016-06-15,METRO FIRE EQUIPMENT INC,33.365491,-111.859852
489,2016-09-26,LGE DESIGN BUILD,33.447785,-111.719282
490,2016-07-07,BELLSOUTHWEST,33.362845,-111.87368
491,2016-04-19,NO LIMIT POOLS & SPAS,33.343029,-111.598895
493,2016-05-17,ARIZONA FIRE SYSTEMS SPECIALISTS,33.392165,-111.699054
494,2016-05-17,ARIZONA FIRE SYSTEMS SPECIALISTS,33.365071,-111.859448
496,2016-04-19,BLUEWAVE POOLS,33.326409,-111.608436
497,2016-04-19,MERITAGE HOMES CONSTRUCTION INC,33.319336,-111.620179
498,2016-06-08,PKC CONSTRUCTION,33.384408,-111.802923
499,2016-04-04,EGAN ELECTRIC LLC,33.405589,-111.86925
500,2016-02-29,AMERICAN FIRE EQUIPMENT SALES & SER,33.392325,-111.718074
501,2016-06-21,"DCSJ, LLC",33.415271,-111.715329
502,2016-04-28,BUETTNER CONTRACTING,33.409119,-111.728423
505,2016-04-14,STRATEGIC R & R,33.383477,-111.683544
506,2016-05-03,CLIMATEC LLC,33.29542,-111.592871
507,2016-04-12,"BLOOMING DESERT POOLS, LLC",33.426583,-111.785738
508,2016-04-14,CALIFORNIA POOLS & SPAS,,
509,2016-04-04,FRANCIS ELECTRIC,33.391941,-111.836192
510,2016-04-05,CALIFORNIA POOLS & SPAS,33.32716,-111.604279
512,2016-01-13,TAYLOR MADE POOLS AND SPAS,33.481296,-111.660401
514,2016-04-20,"KLM BUILDERS, INC",33.368249,-111.843114
515,2016-10-24,MWS DEVELOPMENT LLC,33.371681,-111.858456
516,2016-04-20,CAL-AM CONSTRUCTION SERVICES,33.417655,-111.728085
518,2016-04-14,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.32281,-111.604803
519,2016-04-21,CAL-AM CONSTRUCTION SERVICES,33.421173,-111.727626
520,2016-05-04,SIERRA FIRE & COMMUNICATIONS,33.390634,-111.84174
521,2016-04-11,MARACAY HOMES,33.328341,-111.611635
523,2016-05-05,"COMPLETE FIRE PROTECTION, INC.",33.31192,-111.673975
524,2016-04-12,BRIGHTON COMPANIES LLC,33.372482,-111.648146
525,2016-06-01,TEVELKEN LLC,33.457302,-111.705633
526,2016-08-29,TREVOR RYAN BUILDERS LLC,33.283886,-111.640878
527,2016-04-12,BRIGHTON COMPANIES LLC,33.372277,-111.648003
529,2016-04-05,CARDINAL STATE,33.412047,-111.81547
530,2016-04-18,SPILLER FABRICATION INC,33.413876,-111.834375
531,2016-04-13,THE RYLAND GROUP INC,33.331579,-111.613316
532,2016-04-05,MATTSON CONSTRUCTION,33.39472,-111.874316
533,2016-04-05,REI CONSTRUCTION,33.403501,-111.85661
534,2016-04-20,PULTE HOMES CORPORATION,33.430385,-111.600496
535,2016-04-05,REI CONSTRUCTION,33.403501,-111.85661
536,2016-04-05,REI CONSTRUCTION,33.403501,-111.85661
537,2016-04-05,REI CONSTRUCTION,33.403501,-111.85661
538,2016-04-27,DRH CONSTRUCTION,33.389783,-111.83563
540,2016-04-25,BELLAGIO POOLS & SPAS INC,33.462533,-111.778855
543,2016-04-13,REI CONSTRUCTION,33.403501,-111.85661
544,2016-04-12,KB HOME PHOENIX INC,33.441363,-111.721139
546,2016-04-13,REI CONSTRUCTION,33.403501,-111.85661
547,2016-04-13,REI CONSTRUCTION,33.403501,-111.85661
548,2016-01-26,EXPRESS SECURITY INSTALLATORS,33.395529,-111.866152
549,2016-04-21,CAL-AM CONSTRUCTION SERVICES,33.412244,-111.760255
550,2016-06-29,AMERICAN FIRE EQUIPMENT,33.429296,-111.851401
551,2016-04-21,CAL-AM CONSTRUCTION SERVICES,33.417655,-111.728085
552,2016-04-19,RICHMOND AMERICAN HOMES,33.420527,-111.661553
553,2016-04-21,DOLPHIN POOLS,33.429637,-111.727877
554,2016-04-06,RYSE CONSTRUCTION INC,33.407067,-111.656123
556,2016-04-21,"PRESIDENTIAL POOLS & SPAS, LLC",33.399113,-111.787819
557,2016-04-21,CALIFORNIA POOLS & SPAS,33.452199,-111.646405
558,2016-04-28,"ASHTON WOODS CONSTRUCTION, LLC",33.359521,-111.679143
559,2016-03-09,GAS PIPING INC,33.327234,-111.612514
561,2016-04-28,"ASHTON WOODS CONSTRUCTION, LLC",33.35948,-111.672812
562,2016-04-19,WILLIAM LYON HOMES INC,33.477891,-111.761601
563,2016-04-19,WILLIAM LYON HOMES INC,33.477915,-111.763666
565,2016-04-19,WILLIAM LYON HOMES INC,33.472012,-111.767829
566,2016-04-20,PULTE HOMES CORPORATION,33.362032,-111.677544
567,2016-04-07,IQ BUILDERS LLC,33.441817,-111.638169
568,2016-04-20,PULTE HOMES CORPORATION,33.361729,-111.678148
569,2016-01-13,TAYLOR MADE POOLS AND SPAS,33.343217,-111.598934
570,2016-03-03,KB HOME PHOENIX INC,33.442289,-111.720339
571,2016-06-08,SILVERCREEK CONSTRUCTION LLC,33.394156,-111.720995
572,2016-04-20,PULTE HOMES CORPORATION,33.316579,-111.595452
573,2004-01-14,BUILDMAR CONSTRUCTION,33.430961,-111.834764
574,2016-04-07,"PRESIDENTIAL POOLS & SPAS, LLC",33.479063,-111.765601
575,2016-04-20,PULTE HOMES CORPORATION,33.315548,-111.592934
576,2016-04-06,DTL ELECTRIC,33.385764,-111.66274
578,2016-02-11,AERO AUTOMATIC SPRINKLER CO,33.390822,-111.861409
579,2016-04-22,TAYLOR MORRISON/ARIZONA INC,33.472219,-111.765376
580,2016-04-14,SHEA HOMES,33.330618,-111.615792
581,2016-05-03,AW CONTRACTING CORP,33.409762,-111.864266
582,2016-06-23,"WILLMENG CONSTRUCTION, INC",33.39326,-111.878689
583,2016-09-28,DANIEL ENTERPRISES,33.284106,-111.592557
584,2016-04-06,SLADE ELECTRIC,33.430269,-111.812694
585,2016-04-21,JCH CONSTRUCTION,33.316273,-111.61333
586,2004-02-03,HUGHES DEVELOPMENT LC,33.409453,-111.742419
588,2004-01-15,AWNINGS PLUS INC,33.412244,-111.760255
590,2016-04-21,CAL-AM CONSTRUCTION SERVICES,33.422601,-111.721762
591,2016-04-19,MERITAGE HOMES CONSTRUCTION INC,33.318672,-111.624121
592,2016-04-25,MILLENNIUM GAS SERVICES LLC,33.328019,-111.604507
593,2016-05-04,VALLEY OF FIRE GAS PIPING,33.448992,-111.618493
594,2016-05-12,DESERT FIRE & COMMUNICATIONS,33.408545,-111.884892
595,2016-04-20,FARNSWORTH CONSTRUCTION CO,33.371453,-111.595505
596,2016-04-20,SHEA HOMES,33.330473,-111.617027
597,2004-02-11,RED MOUNTAIN DEVELOPMENT,33.48532,-111.670244
599,2016-04-13,MORTENSON CONSTRUCTION,33.347338,-111.601334
600,2016-04-22,"S & S BUILDERS, LLC",33.414375,-111.724678
601,2016-05-10,DEFENSE SYSTEMS,33.364927,-111.603704
602,2016-04-18,GLEESON MOBILE HOME SERVICE,33.380303,-111.662321
603,2016-04-18,GLEESON MOBILE HOME SERVICE,33.39203,-111.666321
605,2016-04-18,"WOODSIDE HOMES SALES AZ, LLC",33.330833,-111.604528
606,2016-04-18,"WOODSIDE HOMES SALES AZ, LLC",33.330901,-111.603925
607,2016-04-07,BELLAGO DEVELOPMENT,33.460584,-111.784103
608,2016-04-27,ARIZONA FOUNDATION SOLUTIONS,33.384503,-111.79373
609,2016-04-18,MBI BUILDERS LLC,33.454346,-111.638528
610,2016-04-27,ARIZONA FOUNDATION SOLUTIONS,33.401118,-111.742603
612,2016-03-09,"KKITTLE, LLC",33.374193,-111.887367
613,2016-05-12,CAL-AM CONSTRUCTION SERVICES,33.419334,-111.753408
614,2004-02-24,SIGN DEPOT INC,33.400082,-111.858718
615,2016-05-12,SIERRA FIRE & COMMUNICATIONS,33.383362,-111.808556
616,2016-04-28,"VIP CONSTRUCTION, INC",33.440088,-111.61513
618,2016-04-25,TRUE BLUE POOLS INC,33.329663,-111.604
619,2016-05-19,PERRY SIMPSON BUILDERS,33.464657,-111.715792
620,2016-04-18,MBI BUILDERS LLC,33.366509,-111.605254
621,2016-04-27,ARIZONA FOUNDATION SOLUTIONS,33.377964,-111.884699
622,2004-02-09,DESIGNER POOLS INC,33.360997,-111.630834
623,2016-02-16,K KITTLE LLC,33.382767,-111.856869
624,2016-04-28,NAUTICA POOLS,33.358605,-111.672589
625,2016-04-26,DESERT FLAME GAS WORKS LLC,33.398475,-111.710011
626,2016-04-11,RICKS ADVANCED ELECTRIC LLC,33.420191,-111.801266
627,2016-04-28,NEO CONSTRUCTION,33.391264,-111.789957
630,2016-05-05,"VALLEY WIDE AWNINGS, INC",33.371362,-111.641909
631,2016-06-17,BROKEN ARROW COMMUNICATIONS,33.393556,-111.82582
632,2016-04-28,MASTEC,33.41585,-111.772027
633,2016-08-02,WOOD BUILDING AND DEVELOPMENT,33.441565,-111.768073
634,2016-04-14,KB HOME,33.440449,-111.721376
635,2016-04-22,TAYLOR MORRISON/ARIZONA INC,33.472556,-111.764825
636,2016-04-21,JCH CONSTRUCTION,33.31604,-111.61078
637,2016-04-21,JCH CONSTRUCTION,33.315991,-111.610572
638,2016-04-20,JOHN RANDEL MOBILE HOME SERVICE,33.417754,-111.629552
639,2016-04-26,"WRH CONSTRUCTION, INC",33.331418,-111.604262
640,2016-04-26,CALIFORNIA POOLS & SPAS,33.412691,-111.598996
641,2016-07-21,GENERAL ACRYLICS,33.414375,-111.724678
642,2016-04-15,MARACAY CONSTRUCTION,33.327154,-111.614045
643,2016-04-27,CAL-AM CONSTRUCTION SERVICES,33.417655,-111.728085
644,2004-01-20,D & K BUILDING,33.42055,-111.805503
646,2016-02-03,TAYLOR MADE POOLS AND SPAS,33.445495,-111.638945
647,2016-04-26,CALIFORNIA POOLS & SPAS,33.359411,-111.592307
648,2016-05-10,CALIFORNIA POOLS & SPAS,33.474454,-111.769075
649,2016-04-25,VINCO INC,33.452966,-111.731378
650,2016-04-25,"BROKEN ARROW COMMUNICATIONS, INC",33.371315,-111.852316
651,2016-04-15,MARACAY CONSTRUCTION,33.326404,-111.613779
653,2016-04-27,CAL-AM CONSTRUCTION SERVICES,33.421173,-111.727626
654,2016-09-28,DANIEL ENTERPRISES,33.284106,-111.592557
655,2016-04-19,MBI BUILDERS LLC,33.3673,-111.604813
656,2016-02-29,BLUE SKY COMMUNICATIONS,33.429784,-111.613058
657,2016-04-19,MBI BUILDERS LLC,33.451195,-111.637043
658,2016-04-29,CAL-AM CONSTRUCTION SERVICES,33.419334,-111.753408
659,2004-02-12,PRESIDENTIAL POOLS & SPAS,33.436321,-111.745322
660,2016-04-22,TAYLOR MORRISON/ARIZONA INC,33.329833,-111.60263
661,2016-04-29,METRO FIRE EQUIPMENT INC,33.407538,-111.774502
662,2016-04-14,ORANGE CONSTRUCTION LLC,33.407627,-111.789547
664,2016-07-26,DGB CONTRACTING LLC,33.393873,-111.775297
665,2016-04-12,DPR CONSTRUCTION,33.389279,-111.875032
666,2016-04-12,DPR CONSTRUCTION,33.389279,-111.875032
667,2016-04-12,DPR CONSTRUCTION,33.389279,-111.875032
668,2004-02-11,CARIBBEAN POOLS,33.375792,-111.604634
669,2016-07-07,AFFORDABLE COMMERICAL CONSTRUCTION,33.436581,-111.789257
670,2016-07-11,"DREXLER COMPANIES, INC.",33.41124,-111.694591
671,2016-04-18,KB HOME PHOENIX INC,33.406991,-111.596746
672,2016-05-12,BENSON SECURITY SYSTEMS INC,33.414527,-111.801037
673,2016-04-14,SHASTA INDUSTRIES,33.345528,-111.591549
674,2016-04-27,"MESA AWNING CO, INC.",33.408502,-111.663566
677,2016-04-26,"PRESIDENTIAL POOLS & SPAS, LLC",33.413138,-111.740304
678,2016-04-28,PULTE HOMES CORPORATION,33.318718,-111.592759
679,2016-02-09,FIREHOUSE FIRE PROTECTION,33.322535,-111.603055
680,2016-01-26,SAK ELECTRIC & PLUMBING INC,33.409119,-111.728423
681,2016-04-20,CAL-AM CONSTRUCTION SERVICES,33.417655,-111.728085
682,2016-04-27,CAL-AM CONSTRUCTION SERVICES,33.417655,-111.728085
683,2016-07-20,"BELSOUTHWEST, INC",33.362845,-111.87368
685,2016-04-19,BLUE WAVE POOLS,33.359489,-111.674703
686,2016-04-20,CAL-AM CONSTRUCTION SERVICES,33.389137,-111.634032
687,2016-04-27,DRH CONSTRUCTION,33.389783,-111.83563
689,2016-04-27,DRH CONSTRUCTION,33.389783,-111.83563
690,2016-04-20,MARACAY CONSTRUCTION,33.327031,-111.614373
691,2016-04-20,MARACAY HOMES,33.328111,-111.611495
692,2016-06-15,AR MAYS CONSTRUCTION,33.434563,-111.869225
693,2016-04-19,SPECIAL ELECTRONICS SYSTEMS CORP,33.424355,-111.75216
694,2016-04-19,"WILLMENG CONSTRUCTION, INC",33.393266,-111.865963
697,2016-04-27,FARNSWORTH CONSTRUCTION CO,33.359166,-111.592774
698,2016-04-13,IMPERIAL EXCAVATING,33.403292,-111.882191
699,2016-04-13,IMPERIAL EXCAVATING,33.367834,-111.849705
700,2004-02-11,MARACAY HOMES,33.452551,-111.661145
701,2016-04-27,GLEESON MOBILE HOME SERVICE,33.395228,-111.630587
702,2016-07-07,ICON GAS SERVICES,33.473922,-111.661632
703,2016-04-13,ALLIANCE PLUMBING AZ INC,33.422572,-111.882077
704,2016-04-13,ALLIANCE PLUMBING AZ INC,33.422572,-111.882077
705,2016-04-13,HERBEIN CONSTRUCTION LLC,33.37403,-111.892526
706,2016-04-28,"BODINE CONSTRUCTION, INC.",33.458832,-111.705043
709,2016-04-20,MARACAY HOMES,33.326685,-111.613799
710,2016-04-27,"SHASTA INDUSTRIES, INC.",33.454167,-111.643192
711,2016-05-02,MERITAGE HOMES CONSTRUCTION INC,33.328688,-111.604089
712,2016-04-20,REI CONSTRUCTION,33.403501,-111.85661
713,2016-08-09,SUNDT CONTSTRUCTION,33.35015,-111.598221
714,2016-04-14,DIAMOND FIRE EQUIPMENT LLC,33.381455,-111.712849
715,2016-04-27,CAL-AM CONSTRUCTION SERVICES,33.389137,-111.634032
717,2016-04-28,SHASTA INDUSTRIES,33.36203,-111.677155
718,2016-04-26,WILLIAM LYON HOMES INC,33.470955,-111.770133
719,2016-04-26,WILLIAM LYON HOMES INC,33.470987,-111.769923
720,2016-05-04,SOUTHWEST INTEGRATED SOLUTIONS,33.41755,-111.867631
721,2016-04-14,ROD HOFFMAN CONSTRUCTION,33.415197,-111.768862
722,2016-01-26,VALLEY FIRE AND WATER,33.422535,-111.838516
723,2016-04-14,BSJ PLUMBING & INSTALL INC,33.390111,-111.729651
724,2016-04-28,TRADITION BUILDERS,33.491983,-111.687638
725,2016-05-18,ALLIANCE FIRE PROTECTION CO,33.383362,-111.808556
726,2004-07-19,AQUIENTA POOLS,33.412414,-111.820492
727,2016-04-14,JBJ ELECTRIC CO,33.393565,-111.813956
728,2016-04-14,THG CONTRACTING LLC,33.415967,-111.796015
729,2016-05-16,A & H CONTRACTING SERVICES,33.408848,-111.856891
730,2016-04-27,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.334762,-111.605466
731,2016-04-21,MBI BUILDERS LLC,33.367079,-111.604527
732,2016-04-14,"BREINHOLT CONTRACTING CO, INC",33.415032,-111.880065
733,2016-04-14,"BREINHOLT CONTRACTING CO, INC",33.416205,-111.880402
734,2016-04-14,QUALITY CONTRACTOR SERVICES,33.389166,-111.781535
735,2016-02-10,AMERICAN EAGLE FIRE PROTECTION,33.430167,-111.783659
736,2016-04-26,WILLIAM LYON HOMES INC,33.477572,-111.766421
737,2016-06-09,HIGH DESERT COMMUNICATIONS,33.378351,-111.873513
738,2016-06-09,HIGH DESERT COMMUNICATIONS,33.39051,-111.870879
739,2016-07-15,HIGH DESERT COMMUNICATIONS,33.322284,-111.600463
741,2016-04-26,WILLIAM LYON HOMES INC,33.476874,-111.765612
743,2016-04-18,HOT LINE ELECTRIC INC,33.383428,-111.861963
744,2016-04-26,MBI BUILDERS LLC,33.367792,-111.601926
745,2016-04-26,MBI BUILDERS LLC,33.367827,-111.602268
746,2016-03-01,TOP CHOICE ELECTRICAL CONTRACTORS,33.451188,-111.734806
747,2016-04-28,CALIFORNIA POOLS & SPAS,33.376342,-111.67591
748,2016-04-28,WILLIAM LYON HOMES INC,33.478187,-111.761603
749,2016-05-03,THE RYLAND GROUP INC,33.331999,-111.612157
750,2016-04-25,MBI BUILDERS LLC,33.453584,-111.638984
751,2016-04-28,WILLIAM LYON HOMES INC,33.478894,-111.760349
752,2016-04-29,ROYAL COVERS OF ARIZONA INC,33.371362,-111.641909
753,2016-04-28,WILLIAM LYON HOMES INC,33.478184,-111.760714
754,2016-04-21,MBI BUILDERS LLC,33.453689,-111.638942
755,2016-05-03,"PRESIDENTIAL POOLS & SPAS, LLC",33.43469,-111.62677
756,2016-02-11,TGI HOME CRAFTERS,33.445257,-111.751542
757,2016-04-21,MBI BUILDERS LLC,33.368707,-111.607054
759,2016-05-02,WOODSIDE HOMES OF ARIZONA,33.327381,-111.602236
760,2016-06-30,SCHNUELLE RENOVATIONS LLC,33.456158,-111.757306
761,2004-02-20,MARACAY HOMES,33.451919,-111.658365
762,2016-05-02,WOODSIDE HOMES OF ARIZONA,33.330654,-111.60369
763,2016-04-28,WILLIAM LYON HOMES INC,33.419159,-111.707256
765,2016-04-28,WILLIAM LYON HOMES INC,33.41916,-111.707417
766,2016-10-03,FIX MY HOUSE,33.406231,-111.818145
767,2016-05-02,WOODSIDE HOMES OF ARIZONA,33.330543,-111.605658
768,2016-01-26,RIO SALADO ELECTRIC,33.407482,-111.811676
769,2016-02-16,URBAN CITYSCAPES,33.368993,-111.607052
773,2016-04-28,WILLIAM LYON HOMES INC,33.41916,-111.707571
774,2016-04-27,ELI MORGAN DEVELOPMENT,33.4148,-111.60101
775,2016-05-02,"WOODSIDE HOMES SALES AZ, LLC",33.330863,-111.604324
776,2016-04-19,"PRESIDENTIAL POOLS & SPAS, LLC",33.457993,-111.649074
777,2016-04-28,WILLIAM LYON HOMES INC,33.41904,-111.707571
778,2016-05-16,STARWOOD CUSTOM HOMES,33.494933,-111.680138
779,2004-01-28,DENT ELECTRIC,33.425243,-111.853807
780,2016-03-23,PLATINUM POOLS,33.329656,-111.608134
781,2016-04-28,WILLIAM LYON HOMES INC,33.419039,-111.707417
782,2016-04-28,WILLIAM LYON HOMES INC,33.419038,-111.707257
783,2016-04-27,KB HOME PHOENIX INC,33.359898,-111.687019
785,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.363641,-111.680758
787,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.413261,-111.752261
788,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.413154,-111.752333
789,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.41331,-111.752078
790,2016-05-17,PLHAZ,33.452925,-111.666468
791,2016-04-21,MBI BUILDERS LLC,33.371266,-111.60573
792,2016-04-27,KB HOME PHOENIX INC,33.359893,-111.686845
793,2016-04-26,MBI BUILDERS LLC,33.367424,-111.602271
794,2016-04-21,MBI BUILDERS LLC,33.454352,-111.640937
795,2016-05-04,GLEESON MOBILE HOME SERVICE,33.389648,-111.650466
796,2016-04-25,MBI BUILDERS LLC,33.367314,-111.602272
797,2016-04-25,MBI BUILDERS LLC,33.370446,-111.606522
798,2016-04-25,MBI BUILDERS LLC,33.367507,-111.601928
799,2016-04-25,MBI BUILDERS LLC,33.367541,-111.60227
800,2016-04-25,MBI BUILDERS LLC,33.36728,-111.60193
801,2016-02-04,REI CONSTRUCTION,33.403501,-111.85661
802,2016-04-25,KB HOME PHOENIX INC,33.443533,-111.721641
803,2016-04-25,MBI BUILDERS LLC,33.36739,-111.601929
804,2016-04-25,MBI BUILDERS LLC,33.366943,-111.601932
805,2016-04-25,MBI BUILDERS LLC,33.36717,-111.601931
806,2016-04-25,MBI BUILDERS LLC,33.367094,-111.602274
807,2016-05-12,MERITAGE HOMES CONSTRUCTION INC,33.318617,-111.621178
808,2016-04-26,NO LIMIT POOLS & SPAS,33.47958,-111.64897
809,2016-05-10,"DESIGN TOUCH BUILDERS, INC.",33.399299,-111.730271
812,2016-04-21,MBI BUILDERS LLC,33.45422,-111.640946
813,2016-04-25,MBI BUILDERS LLC,33.36706,-111.601931
816,2016-04-19,ARIDLAND GAS SPECIALTIES INC,33.437504,-111.822326
817,2016-04-27,THE RYLAND GROUP INC,33.330228,-111.614643
818,2016-04-21,"PRESIDENTIAL POOLS & SPAS, LLC",33.364408,-111.678003
819,2016-05-02,JCH CONSTRUCTION,33.314648,-111.614315
820,2016-04-20,FARNSWORTH CONSTRUCTION CO,33.416054,-111.828587
821,2016-05-04,ICON GAS SERVICES,33.462228,-111.697534
822,2004-02-18,PRESIDENTIAL POOLS & SPAS,33.445121,-111.755735
823,2016-04-22,MARACAY HOMES,33.329959,-111.613841
824,2016-04-21,MBI BUILDERS LLC,33.454582,-111.640921
826,2016-04-22,MARACAY CONSTRUCTION,33.328499,-111.611213
827,2016-05-02,ARIZONA PROPANE,33.438292,-111.62971
828,2016-04-26,"PROVIDENCE DEVELOPMENT,INC.",33.324624,-111.585421
829,2016-04-26,"PROVIDENCE DEVELOPMENT,INC.",33.321246,-111.586205
830,2016-05-02,PULTE HOMES CORPORATION,33.318908,-111.593527
831,2016-05-02,PULTE HOMES CORPORATION,33.361239,-111.680412
832,2016-05-04,FUNK FAMILY ENTERPRISES,33.436233,-111.644546
833,2016-05-09,HELIOCOL GREEN ENERGY INC,33.454999,-111.750068
834,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.363647,-111.681583
835,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.364127,-111.681739
836,2016-05-02,PULTE HOMES CORPORATION,33.360927,-111.679829
837,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.363646,-111.681417
838,2016-04-27,DRH CONSTRUCTION,33.389783,-111.83563
839,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.364129,-111.682071
840,2016-08-18,D L P CONSTRUCTION COMPANY INC,33.434563,-111.869225
841,2004-02-26,US HOMES,33.372064,-111.602246
843,2016-04-27,DRH CONSTRUCTION,33.389783,-111.83563
844,2016-04-20,THE GAS MAN LLC,33.491993,-111.690281
845,2016-05-03,"PRESIDENTIAL POOLS & SPAS, LLC",33.471078,-111.768209
846,2016-04-20,FRANCIS ELECTRIC,33.409742,-111.765634
847,2016-04-20,FRANCIS ELECTRIC,33.391941,-111.836192
848,2016-05-10,MERITAGE HOMES CONSTRUCTION INC,33.327583,-111.606577
849,2016-05-24,"ASHTON WOODS CONSTRUCTION, LLC",33.360381,-111.677979
850,2016-06-21,GOODMAN NETWORKS,33.425291,-111.805019
851,2016-05-11,HAYDEN BUILDING CORP,33.39326,-111.878689
852,2016-04-25,MBI BUILDERS LLC,33.367676,-111.601927
853,2016-05-02,JCH CONSTRUCTION,33.31008,-111.610567
854,2016-05-02,JCH CONSTRUCTION,33.319286,-111.616737
855,2016-04-27,KB HOME PHOENIX INC,33.443988,-111.721338
856,2016-04-26,LENNAR ARIZONA CONSTRUCTION ,33.364124,-111.681415
857,2016-04-28,WILLIAM LYON HOMES INC,33.474748,-111.769659
858,2016-05-02,JCH CONSTRUCTION,33.315771,-111.610825
861,2016-05-17,THE RYLAND GROUP INC,33.331056,-111.612501
862,2016-09-01,FUNK FAMILY ENTERPRISES,33.436625,-111.645543
863,2016-04-27,MBI BUILDERS LLC,33.366509,-111.605401
864,2016-04-28,FARNSWORTH HOMES,33.363109,-111.600643
866,2016-05-02,JCH CONSTRUCTION,33.312158,-111.611413
867,2016-04-27,MBI BUILDERS LLC,33.457671,-111.636103
868,2016-05-09,STB CONSTRUCTION,33.414375,-111.724678
869,2016-05-18,A AND M FIRE PROTECTION LLC,33.392165,-111.699054
870,2016-08-11,DCS CONTRACTING INC,33.321703,-111.621109
872,2016-06-08,USA FIRE PROTECTION LLC,33.380736,-111.788696
873,2016-05-03,CARIBBEAN POOLS INC,33.333439,-111.607392
874,2016-05-05,CARIBBEAN POOLS INC,33.345714,-111.598385
877,2016-05-02,LENNAR ARIZONA CONSTRUCTION ,33.363644,-111.681084
878,2016-04-27,SERVPRO OF GILBERT & CHANDLER SOUTH,33.455592,-111.697587
879,2016-04-21,ARRIS BUILDING & REMODELING,33.416878,-111.789638
880,2016-05-25,CAL-AM CONSTRUCTION SERVICES,33.389137,-111.634032
881,2016-05-02,WOODSIDE HOMES OF ARIZONA,33.330885,-111.604123
882,2016-04-21,AR MAYS CONSTRUCTION,33.380636,-111.787025
883,2016-05-05,BLUEWAVE POOLS,33.442873,-111.733804
886,2016-05-03,WILLIAM LYON HOMES INC,33.418813,-111.707258
887,2016-05-04,TYCO INTEGRATED SECURITY,33.422404,-111.857093
888,2016-05-03,WILLIAM LYON HOMES INC,33.418814,-111.707573
889,2016-02-08,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.334926,-111.604145
890,2016-06-13,SUMMIT TRADES AND SERVICES,33.402427,-111.718381
891,2016-05-03,WILLIAM LYON HOMES INC,33.418692,-111.707259
892,2016-07-05,"MJB CONSTRUCTION, LLC",33.413678,-111.870522
893,2016-05-03,WILLIAM LYON HOMES INC,33.418693,-111.707419
894,2016-04-28,WILLIAM LYON HOMES INC,33.471915,-111.768223
895,2016-05-05,SKANSKA USA BUILDING,33.410342,-111.875196
896,2016-05-03,WILLIAM LYON HOMES INC,33.418693,-111.707574
897,2016-05-03,WILLIAM LYON HOMES INC,33.418814,-111.707419
898,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
899,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
900,2016-05-02,REI CONSTRUCTION,33.403501,-111.85661
901,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
902,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
903,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
904,2016-04-27,REI CONSTRUCTION,33.403501,-111.85661
905,2016-05-02,REI CONSTRUCTION,33.403501,-111.85661
